text,annotation_48,annotation_49,annotation_50,annotation_47
Keep Dr. Annie Bukacek on the Flathead City-County Health Board,"vaccination,masking and distancing,lockdowns",,,
"Stop Supporting Animal Cruelty, Tropical Smoothie Cafe!",,,,
Covid-19 Airbnb Hosts Economic Hardship,lockdowns,,,lockdowns
COVID-19,,,,
COVID-19 Impact: Need waiver for Small & Medium Business owners.,lockdowns,,,lockdowns
"Allocation of 20M to each Mp should instead go support health centers, doctors and nurses.",,,,
Abortion must be accessible for women across the EU,,,,
Conduct Final Examination for students in Online Mode to prevent risk of Covid Infection,lockdowns,lockdowns,lockdowns,lockdowns
"Request to set up a Covid 19 testing laboratory at GTA region, West Bengal.",,,,
Tamil Nadu needs to close colleges due to COVID- 19  Do You agree?,lockdowns,lockdowns,lockdowns,lockdowns
"LET'S GET HOUSE BILL 1532 PASSED, REDUCE JAIL & PRISON POPULATIONS FROM SPREADING COVID-19",,,,masking and distancing
Postpone/Cancel CAIE's in Pakistan May/June 2020 due to Coronavirus outbreak.,,lockdowns,lockdowns,lockdowns
Release Currie Hall Residents from Leases Amid COVID-19 Pandemic,lockdowns,,,
Allow Parents in Botswana  to Purchase Baby & Children's Essentials for the Winter,lockdowns,,,
Save covid-19 old infected patients across the world,,,,
Change to Durham University Assesment in light of COVID-19 Pandemic.,lockdowns,lockdowns,,lockdowns
Hospital visits to be permitted to critical patients who need their loved ones around them,"masking and distancing,lockdowns",,,lockdowns
Extend education loan grace period to support the graduates struggling to find jobs #COVID,,,,
COVID-19 Isn't Over and We Need Help: Tell the Senate to Pass the HEROES Act Immediately,,,,
Uso de mascarillas obligatorio en España para COVID-19,masking and distancing,,masking and distancing,masking and distancing
Hobart City Council should allow health workers to park for free during COVID-19 crisis.,,,,
Less Schoolwork during COVID-19 Quarantine,lockdowns,,lockdowns,lockdowns
Requesting Free State Gov to provide list of companies who received Covid-19 Relief Fund,,,,
Allow Cruise Ships to come to Alaska,,,lockdowns,lockdowns
Doula Support in Nebraska Hospitals during COVID-19 Outbreaks,,,,
Cancellation of semester exam 2019-2020 and using our exam fees to Relief fund.,lockdowns,,,lockdowns
Announce holidays for teachers and non teaching staff to combat corona threat,lockdowns,lockdowns,,lockdowns
Save Lives! Include ALL Diabetics in the COVID vaccine rollout in California,vaccination,vaccination,vaccination,vaccination
"#saveliveslivebetter-Walmart Canada, please help keep your associates and customers safer!",,,,
Summer 2020 Graduations to be POSTPONED not CANCELLED,lockdowns,,,lockdowns
Eviction Moratorium South Africa,,,,
Students concern related to fees submission amid this covid.,,,,
Cancel school for at least two weeks to slow down the spread of COVID-19,lockdowns,lockdowns,lockdowns,lockdowns
Protect Inmates And Correctional Facility Staff Against Covid,masking and distancing,,,
A green recovery from COVID-19 in Northern Ireland,,,,
Expansion of covid related subsidies to new businesses,,,,lockdowns
Demand Science-Based School Reopening Criteria in AZ!,,,lockdowns,"masking and distancing,lockdowns"
Stop all air travel to Ireland from covid hotspots in the US,lockdowns,lockdowns,lockdowns,lockdowns
新型コロナウイルス感染拡大に伴う差別行為＝「コロナ差別」に際して日本政府に対策を求めます ー #差別を許さない,,,,
"Cancel International A Level & IGCSE Exams 2021
(CIE & Edexcel)",,,lockdowns,lockdowns
La entrada de las Doulas al proceso de parto junto al acompañante de la paciente.,,,,masking and distancing
Shut Down Leeds Arts University for COVID-19,lockdowns,lockdowns,lockdowns,lockdowns
STOP THE COVID-19 VACCINATION CAMPAIGN,vaccination,vaccination,vaccination,vaccination
Pass all the CFISD students for the spring semester,lockdowns,,,
Close All Educational Institutions for Teachers and Other Staff #KeepTeachersSafe,lockdowns,,lockdowns,lockdowns
Alberni Grocers: Seniors-Only Hour Will Save Lives,,,,masking and distancing
Lower USask Tuition Rates for 2020/21,,,,
OFW DOLE Akap must be available to all OFW Landbased and Seabased.,,,,
Rakyat Dan LPP-TIPIKOR RI Mendesak Pemerintah RI Lakukan Kesepakatan Dengan UN-SWISSINDO,,,,
Make Insurance Companies Grant Full Benefit Access During Covid,,,,
�Act Now: Temp Las Vegas Rent Freeze,lockdowns,,,lockdowns
Suffolk County Executive Steve Bellone and Dr. Pigott (Suffolk DOH): Let ALL Sports Play!,lockdowns,,lockdowns,
Divert military spending to global covid relief!,,,,
Petition to Congress to Provide Economic Relief to Independent Physicians and Practices,,,,
Closing of school during lockdown,lockdowns,lockdowns,lockdowns,lockdowns
COVID support for those who went self-employed in last year,,,,
CLOSE ALL CAMPUS of University of Toronto to prevent COVID-19 Outbreak,lockdowns,lockdowns,lockdowns,lockdowns
Demand UMD Prioritize Students over Profit in Changing COVID-19 Response Policies,"masking and distancing,lockdowns",,,lockdowns
Make COVID Data Transparent at NC State,,,,
Appeal to the UN to prevent imminent starvation and a humanitarian crisis in Eritrea,,,,
Stop the COVID-19 Madness!,,,,lockdowns
Change High School Hockey in New Jersey To a Spring Sport,,,,
"Prisoners sentence to be reduced due to Covid 19 , full lockdown and  no visits .",lockdowns,lockdowns,lockdowns,lockdowns
Postpone UCLA's 2020 Commencement Instead of Cancelling,lockdowns,,lockdowns,lockdowns
"Keep YOUR Allied HEALTH Practitioners OPEN!  
Ease the burden OUR medical system may face.",,,,lockdowns
7-POINT PUBLIC HEALTH DEMANDS: COVID-19  ACTION STEPS,,,,"vaccination,masking and distancing"
Extend the Government's Paid Parental Leave to pregnant women during the COVID-19 crisis,,,,
Save California Seniors from a Death Sentence,,,,
"Visayan Electric Co. (VECO), ECQ Overbilling REFUND Now!",lockdowns,,,lockdowns
Stop mandatory COVID 19 testing for admission for pregnant women,,,,
Tests massifs du Covid-19 par PCR et traitement hydroxychloroquine et azithromycine !,,,,
No school or ECE during Alert level 3.,,,lockdowns,"masking and distancing,lockdowns"
Ban - Free or Complimentary breakfast & happy hours Nationwide,,,,lockdowns
Cancellation of Semester End Examination,lockdowns,,lockdowns,lockdowns
Death of NM Small Business,lockdowns,,,lockdowns
Extend Free School Meals Into The Summer Holidays,,,,
COVID-19: Award Predicted Grades to A-Level Students (Including Pre-U and IB),,,,
Make Colorado Public Schools Remote This Fall,lockdowns,lockdowns,lockdowns,lockdowns
Covid-19: Governor Reynolds please close the IA Schools for the rest of the school year.,lockdowns,lockdowns,lockdowns,lockdowns
"Suspend ALL rent, mortgage, and utility payments during the COVID-19 pandemic",lockdowns,,,lockdowns
Allow federal inmates in the bureau of prisons access to tablets during Covid-19 pandemic!,lockdowns,,,
Declare the Road Accident Fund an Essential Service,,,,
"Urban Outfitters, JCPenney, C&A #PayUp for orders, save lives",,,,lockdowns
"Let's save the life of Shani Abeysekera, the greatest detective of Sri Lanka",,,,
Crisis Pay: Give Frontline Healthcare Workers The Pay They Deserve,lockdowns,,,
"Designate Occupational, Physical Therapists and Speech Language Pathologists as frontline",,,,
Keep the Americans from making a movie about how well they handled Covid - 19,"vaccination,masking and distancing,lockdowns",,,
Covid-19: Urgent action plan for the Labour movement!,,,,
Osteopathic Manual Practitioners in Ontario Should Be Considered an Essential Service!,,,,
Stop World Travel and call it finally a pandemic!,lockdowns,lockdowns,lockdowns,lockdowns
State of Hawaii to freeze rent and mortgage payments during COVID-19 pandemic.,lockdowns,,,lockdowns
NHS COVID Medal,,,,
"""Withdraw EIA 2020 Draft""",,,,
Hazard Compensation for Shipyard Employees during Covid-19 Pandemic,,,,
Hair Salons Are An Inevitable Business - Make Us Essential!,lockdowns,,,lockdowns
#карантинвбеларусь,,,,lockdowns
UPenn petition to reduce/forgive/rebate spring 2020 tuition due to COVID-19,lockdowns,,,lockdowns
"Initiative to combat ""COVID 19"" through Public Awareness",,,,"masking and distancing,lockdowns"
Ripartire dopo il COVID-19: Legalizzare la Cannabis per il futuro dell'Italia,,,,
The University of Alberta shouldn't charge full tuition for online classes!,lockdowns,,,lockdowns
Call for Action: Defund the Winnipeg Police Service,,,,
Reinstate NCLEX Testing,,,,
STOP hydropower project in Arunachal’s bio-diverse Dibang Valley,,,,
Petition for Pass/Fail Option in Spring 2020 Courses at UTEP,,,,
¡Urgente!,,,,
COVID,,,,
Cancellation of Semester End Exams (Goa University),lockdowns,,lockdowns,lockdowns
Release of non violent prisoners to prevent a dangerous COVID-19 outbreak in prison,masking and distancing,masking and distancing,,masking and distancing
"Suspension of Rent, Mortgage, & Utility Payments During the Coronavirus Pandemic",lockdowns,,,lockdowns
Optional Pass/Fail for UIUC,,,,
Open up Outdoor Dining,lockdowns,,lockdowns,lockdowns
Colorado COVID-19 Housing Relief,lockdowns,,,
Muhyiddin Please Resign / Muhyddin Letak Jawatan,,,,
Keep Davis School District students safe by keeping hybrid schedule.,lockdowns,,lockdowns,lockdowns
HELP TO SHARE! UTM should conduct classes fully online! - Covid-19,lockdowns,lockdowns,lockdowns,lockdowns
Massive COVID-19 testing now!,,,,
COVID-19 ERADICATION in Australia,"vaccination,masking and distancing,lockdowns",,,"vaccination,masking and distancing,lockdowns"
COVID-19 closing Casinos to contain virus,lockdowns,lockdowns,lockdowns,lockdowns
Allow Frontline Healthcare workers to keep their children.,"masking and distancing,lockdowns",,,
Make it easier for families to close the accounts of a loved one who dies,"vaccination,masking and distancing,lockdowns",,,
"COVID-19 MAY GET ERADICATED, BUT NOT OUR UNIVERSITIES ATROCITY",lockdowns,,,
ALDI USA: make COVID-19 raises permanent!,,,,
Stop Murrayfield Ice rink from closing it’s doors for good,lockdowns,,,lockdowns
COVID related travel restrictions in Canada,lockdowns,lockdowns,lockdowns,lockdowns
Include Sports Academies in Covid-19 Relief Fund. SAVE them from shutting down,lockdowns,,,
Milwaukee should require masks in public places to protect residents,masking and distancing,masking and distancing,masking and distancing,masking and distancing
Navajo President Nez: Immediately Allow Diné Relief Efforts During COVID-19 Curfews,lockdowns,lockdowns,,
FIGHT POVERTY BY SUPPORTING DISTRIBUTED RESERVED CRYPTOCURRENCY IN NIGERIA.,,,,
Cancel 2021 GCSE & A-Level Exams,lockdowns,,,"masking and distancing,lockdowns"
Rehabilitation of those affected severely by Amphan,,,,
Make Selling dogs illegal unless you are a licensed and accredited breeder,,,,
"Tell Governor Kemp: Shut down Georgia TODAY, Save Lives",lockdowns,lockdowns,lockdowns,lockdowns
Lorenzo (USC Off-Campus Student Housing) Rent Waived/Reduced due to COVID-19,,,,
Canadians Demand Interest and Debt Relief from Banks During COVID-19,,,,
Stop treatment of covid-19 patients in Wolfson Cystic Fibrosis unit,,,,masking and distancing
Freeze Law Society of Ontario & LAWPRO Fees due to COVID-19,,,,lockdowns
Protect UNM Graduate Students amid COVID-19,lockdowns,,,
"Mandatory Medical Cover, Safety Gear and Job Security For Journalists",,,,masking and distancing
REQUEST FOR SCHOOL CLOSURE DUE TO HIGH RISK OF COVID 19,"masking and distancing,lockdowns",lockdowns,lockdowns,lockdowns
Close Pinkerton Due To Covid-19,lockdowns,lockdowns,lockdowns,lockdowns
Запрет на перекладку плитки в 2020 году в г. Москве,,,,lockdowns
North Carolina COVID-19 Housing Relief,lockdowns,,,lockdowns
CU Denver switching to Pass/Fail Grading in response to COVID 19,lockdowns,,,lockdowns
CLOSE Seattle University campus due to COVID-19 death and new cases,lockdowns,lockdowns,lockdowns,lockdowns
Cover COVID-19 treatment in #Aarogyasri Scheme,,,,
"Governor Gretchen Whitmer: Suspend Rent, Mortgage, & Utility Payments During Pandemic",lockdowns,lockdowns,,lockdowns
Tell Solano Co. to keep community safe during COVID & send staff home for Teleworking,lockdowns,lockdowns,lockdowns,lockdowns
"équipements de protection individuelle minimale, frottis et responsabilité pour lutter!",,,,masking and distancing
Stop EMI Payments During Crisis,,,,lockdowns
Grant work from home to IT employees around India,lockdowns,,lockdowns,lockdowns
Open Adult Slowpitch Softball in California,lockdowns,,lockdowns,
Delay or start school in stages,lockdowns,,lockdowns,lockdowns
Save Knaresborough Arts and Crafts centre,lockdowns,,,
Covid-19 protection for police officers,masking and distancing,"vaccination,masking and distancing",,"vaccination,masking and distancing"
Make the Government fund PPE for Pharmacies,,,,masking and distancing
MAKE GYMS ESSENTIAL,lockdowns,,,lockdowns
SAVE our Hokitika SPCA animal shelter from closure,,,,lockdowns
Allow dog walking during SA lockdown,lockdowns,lockdowns,lockdowns,lockdowns
Release imprisoned journalists worldwide,,,,
Save Grandma from COVID,,,,
Illinois Schools Should Void 4th Quarter Grading and Pass All 2019/2020 Classes,lockdowns,,,lockdowns
Help Sac Library Staff Get Paid During Covid-19 Closures,lockdowns,lockdowns,,lockdowns
Partial fee refund due to Universities closure in the midst of COVID-19 outbreak,lockdowns,lockdowns,,lockdowns
We want the Ministry of Education to re-consider the decision for school reopening,lockdowns,,lockdowns,lockdowns
"Justice For Mehali Pastrikos, Wade Williams & Miguel Pechay! Sentence Appeal! TF Inquest!",,,,
Government Support for NW Ontario Tourism #savesunsetcountrytourism Before It's Too Late,lockdowns,,,lockdowns
Protect Mirrlee's fields from a potential building development of  200 houses.,,,,
Reschedule NCAA Wrestling Tournament,lockdowns,,lockdowns,lockdowns
"Reclassification of Micro Gyms, Pilates, and Yoga Studios in St Louis",,,,lockdowns
Tax free earnings for all healthcare workers during Covid-19 crisis,,,,
UAL: Save Our Degree Show!,lockdowns,,,
Change the theme of Splash Mountain ride in Disney Parks,,,,
Hair Salons to open in Marion County (Indiana) following social distancing rules,"masking and distancing,lockdowns",masking and distancing,"masking and distancing,lockdowns",masking and distancing
BPS  Covid Safety Metrics,,,,lockdowns
Save South Norwood Library,lockdowns,,,
Return high school sports to Ohio,,,lockdowns,
Open Capitation Model Funding (FHO) to All Family Physicians in Ontario Urgently!,,,,
Petition to extend mid-semester break of NITJ in light of the COVID-19 outbreak,,lockdowns,,lockdowns
Закрыть высшие учебные заведения Москвы на карантин в связи с пандемией коронавируса,,,lockdowns,lockdowns
Open our Garden Centres,"masking and distancing,lockdowns",,lockdowns,
COVID 19 Beauty Industry Economical Impact - Canada,lockdowns,,,lockdowns
Covid Death Relief Fund,,,,
"Close all Australian schools, decrease the risk of COVID-19",lockdowns,lockdowns,lockdowns,lockdowns
Withdraw the freeze in hike of dearness allowance of central govt employees and pensioners,,,,
We need a Break from online classes and exams!,lockdowns,,lockdowns,lockdowns
Covid-19 Economic Relief for Property Owners,lockdowns,,,lockdowns
Petition for Online Teaching in Nottingham Trent University under COVID-19 Threat,lockdowns,lockdowns,,lockdowns
"""No detriment"" Policy for UCD",,,,
Salviamo la Repubblica dell’Arte di Frigolandia dall’assurda minaccia di sgombero,,,,
Annastacia Palaszczuk & Jeanette Young to make a national apology to Nathan Turner family,,,,
CHANGE THE AMBULANCE SERVICE STATUS FROM ESSENTIAL TO EMERGENCY AFTER COVID-19,,,,
Fair treatment for easyJet staff,lockdowns,,,lockdowns
Trump must resign for admitting to downplaying COVID-19,,,,
The New School: Aid Students with a Partial Tuition and Housing Refund,lockdowns,,,lockdowns
Release or Home Confinement for Federal Prisoners from COVID-19 Coronavirus,lockdowns,masking and distancing,,"masking and distancing,lockdowns"
COVID-19 : Non à la fermeture du Parc Oméga !,lockdowns,,,lockdowns
Close School I dont want covid 19,lockdowns,lockdowns,lockdowns,lockdowns
Close USF campus due to the COVID-19 (coronavirus),lockdowns,lockdowns,lockdowns,lockdowns
Stop Missouri's DESE From Spending CARES Act Funding on a Standardized Test,vaccination,,,
Petition to ask Philippines Senator Koko Pimentel to resign.,,,,
Close Douglas County Schools due to COVID-19,lockdowns,lockdowns,lockdowns,lockdowns
Close South Coast Plaza Mall - Stop Covid-19,lockdowns,lockdowns,lockdowns,lockdowns
Request To Make NOVA Spring 2020 Classes Pass/Fail An Option Due to COVID-19,lockdowns,lockdowns,,lockdowns
"Diabetes to be added in Clinically Extreme Vulnerable ""Shielding"" list for COVID 19",,,,masking and distancing
"Protect Haida Gwaii, and North and Central Coasts - Restrict Non-Essential Travel Now",lockdowns,,,lockdowns
Free and voluntary COVID-19 testing for front-line Nurses in Ghana once every week.,,,,
Open House Ban During Covid-19,lockdowns,lockdowns,lockdowns,lockdowns
URGENT: PROTECT OKLAHOMA'S INMATES FROM COVID-19 BY REDUCING OVERCROWDING,lockdowns,masking and distancing,masking and distancing,masking and distancing
ALL colleges TEST OPTIONAL for Fall 2020 applications amid COVID-19 pandemic,lockdowns,lockdowns,,lockdowns
Postpone UPSC CSE Prelims 2020 to August '20 amidst COVID 19 pandemic,masking and distancing,lockdowns,lockdowns,lockdowns
