text,annotation_112,annotation_109,annotation_110,annotation_111
Covid-19 shouldn't stop academic Justice,lockdowns,lockdowns,lockdowns,"vaccination,masking and distancing"
Tell Jim Justice to lock down West Virginia,lockdowns,lockdowns,lockdowns,lockdowns
GDC & CoreCivic Prisons Covid Release Must Happen Immediately: Save Our Loved Ones!!!,,,lockdowns,"vaccination,masking and distancing"
Bring back some flight services to Queenstown,lockdowns,lockdowns,lockdowns,lockdowns
Governor Raimondo: Allocate federal COVID-19 relief funds to save RI small businesses NOW.,,,lockdowns,
CANCELLATION OF DU EXAMINATIONS,lockdowns,lockdowns,lockdowns,lockdowns
"Covid-19 Support for Entrepreneurs, Consultants & Gig Economy & Part-time Workers",,,"vaccination,masking and distancing",masking and distancing
Open Smaller Gyms in Ontario,lockdowns,lockdowns,lockdowns,"vaccination,masking and distancing"
Les 10 réclamations urgentes pour lutter plus efficacement contre le COVID-19 en Belgique,,,masking and distancing,
Let 27 North Residents Cancel Their Lease Contracts Amid COVID-19,,"lockdowns,lockdowns",lockdowns,
Faith in our ADOM Schools,,,lockdowns,
CoronaVirus - Coventry University deadline extension,lockdowns,lockdowns,lockdowns,
To get the Summit Athlete Gift-Bags,,,lockdowns,
"Cheerleading,  Dance and amateur sports clubs to be included in Covid 19 Announcements",masking and distancing,,"vaccination,masking and distancing",vaccination
University of San Diego changes courses to online due to the spread of COVID-19,lockdowns,lockdowns,lockdowns,lockdowns
Father is dying from Covid19 & Plasma is his only hope and hospital won’t give it to him!,,,,
Stop companies Profiteering from £120 Private Covid-19 Testing!,,,,
Suspend Mortgage & Rent Payments in Maryland During COVID-19,,lockdowns,lockdowns,lockdowns
Yoga Studios Are Not Gyms,lockdowns,,lockdowns,
"Save the dagwood dog guy,",,,lockdowns,
Stop all animal transports during covid-19,,lockdowns,lockdowns,lockdowns
"ОСТАНОВИТЬ РЕПРЕССИИ, ОСВОБОДИТЬ ПОЛИТЗАКЛЮЧЕННЫХ И  ЗАДЕРЖАННЫХ ПО ПОЛИТИЧЕСКИМ МОТИВАМ",,,lockdowns,lockdowns
Ensuring the safety and Respect of healthcare professionals in current pandemic scenario,,,"vaccination,masking and distancing",masking and distancing
Indiana for the Safe Return to Schools,lockdowns,lockdowns,,"vaccination,masking and distancing"
Close Chipotle during COVID-19,lockdowns,lockdowns,lockdowns,lockdowns
Keep children out of school during the COVID-19 crisis,lockdowns,lockdowns,"vaccination,masking and distancing",masking and distancing
Save the fitness Industry from the economic effect of Covid 19,lockdowns,,lockdowns,"vaccination,masking and distancing"
Petition to Reopen NYS Gymnastics Clubs,lockdowns,lockdowns,lockdowns,lockdowns
Implement a No Detriment Policy for University of the West of England,lockdowns,lockdowns,lockdowns,
"Suspend rent, mortgage and utilities bill of Texas",,,lockdowns,
Ontario MRTs/DMSs united to get the respect/recognition we deserve. COVID-19 Pandemic Pay,,,,
#CancelofflineexamsinKA,lockdowns,lockdowns,lockdowns,"vaccination,masking and distancing,lockdowns"
Spotlight on NJ Unemployment Lag during Covid-19 Shutdown!,masking and distancing,lockdowns,lockdowns,lockdowns
SAVE THE CUNY STUDENTS,lockdowns,lockdowns,lockdowns,"vaccination,lockdowns"
Urging the CSWE to reconsider field practice hour waiver due to the government shutdowns,lockdowns,lockdowns,lockdowns,lockdowns
McConnell and Schumer: Make it Monthly Stimulus Checks & Support the #PeoplesStimulus,,,,
NSFAS should provide students with Laptops to study during this pandemic of COVID 19,lockdowns,lockdowns,lockdowns,vaccination
Declare Digital Learning plan for Education deprived school children of Rural Maharashtra,lockdowns,,,
No to abandonment,,,,
NJ edTPA COVID-19: WAIVE edTPA for Fall 2020 Graduates,,lockdowns,lockdowns,
National Poetry Library SOS #NPLSOS,,,lockdowns,
Make Ryerson courses pass/fail,,,"masking and distancing,lockdowns",
Petition for PDPU to take prevention against COVID 19,,lockdowns,lockdowns,
GOVERNMENTS TO BAN ALL WET MARKETS-STOP ANOTHER COVID 19 OUTBREAK,lockdowns,lockdowns,lockdowns,lockdowns
"Gov. Kemp, Save Lives, Let Our Cities Mask!",masking and distancing,masking and distancing,masking and distancing,masking and distancing
No Colleges until Zero Covid Case in the State or until Vaccines are out,"vaccination,lockdowns","vaccination,lockdowns","vaccination,lockdowns","vaccination,lockdowns"
Stop Sussex from Sacking their Staff! Covid-19,,lockdowns,lockdowns,
PROTECT  OREGON  INMATES  FROM  CORONAVIRUS (COVID19),,,,lockdowns
Contra o FIM da Saúde Pública Federal no Rio de Janeiro,,lockdowns,,
A year tax free after the pandemic for all key workers who had to work through covid 19,,,lockdowns,
KEEP GYMS OPEN IN CT,lockdowns,lockdowns,lockdowns,lockdowns
President Rule in Bihar,,,,
Make Covid19 tests available to care staff working with vulnerable elderly people in care,,,,"vaccination,masking and distancing"
Open Outdoor Youth Sports Activities in Massachusetts,lockdowns,lockdowns,lockdowns,lockdowns
Travel Ban on US & Europe,lockdowns,lockdowns,lockdowns,lockdowns
Make all UWL (online next because of Covid-19) classes pass or fail for this semester,lockdowns,lockdowns,lockdowns,lockdowns
Ask Concordia University to Suspend All In-Person Instruction,lockdowns,lockdowns,lockdowns,"masking and distancing,lockdowns"
Major retail chains should provide free home delivery to those most at risk from Covid-19.,masking and distancing,"masking and distancing,lockdowns",,masking and distancing
"Continue to Subsidize Child Care, in Texas, during the Covid 19 pandemic",,,vaccination,"vaccination,masking and distancing"
Advice the government of Botswana to temporarily close down schools amid covid 19 outbreak,lockdowns,lockdowns,lockdowns,lockdowns
COVID BCG Vaccine must start in countries with highest cases of infections NOT in Africa.,vaccination,vaccination,vaccination,"vaccination,masking and distancing,lockdowns"
Governor Jay Inslee to forgive Rent/Mortgage in Washington State for 90 days,,,lockdowns,lockdowns
ATTN Governor Baker- Open Mass Training studios and Personal Training Safely ASAP,masking and distancing,,,masking and distancing
Pace University Petition - COVID-19 Pandemic,,lockdowns,lockdowns,
Pay NYC substitute para professionals during COVID-19 School Closures,lockdowns,lockdowns,lockdowns,lockdowns
A plea to the Universities during the time of this Pandemic,,lockdowns,lockdowns,lockdowns
CARTA PELOS POBRES!,,,,
NO NASHVILLE GOP CONVENTION,lockdowns,lockdowns,,
Support BGU Students during Covid-19,,,lockdowns,vaccination
HELP NS Veterinary Clinics Stay Open‼️,lockdowns,,"vaccination,lockdowns",vaccination
SNP MP Margaret Ferrier resign after travelling to London with a positive COVID test,masking and distancing,lockdowns,,"vaccination,masking and distancing"
Start drive-through community-based COVID-19 assessment centres provided by our Labs!,masking and distancing,,vaccination,masking and distancing
Promotion Of AKTU College Students to Next Semester Without Exam.,,lockdowns,lockdowns,lockdowns
"Guarantee PPE availability for healthcare workers, both in government and private sector",masking and distancing,,,"vaccination,masking and distancing"
University of Guelph COVID-19 - Move Classes Online,lockdowns,lockdowns,lockdowns,
Get Finals Moved to Online Due to Corona Virus (COVID-19),lockdowns,lockdowns,lockdowns,"masking and distancing,lockdowns"
“Freeze Rent and Mortgages during Covid-19”,,lockdowns,lockdowns,lockdowns
UVM COVID 19 Protocol,masking and distancing,vaccination,,lockdowns
Compensate Fees after Closure of Universities due to Covid-19 Pandemic,lockdowns,lockdowns,lockdowns,lockdowns
No MAGA Mural in Petaluma!,,lockdowns,lockdowns,
"Petition to Freeze Rent, Mortgage, & Utility Bills During Covid-19 Pandemic",masking and distancing,lockdowns,lockdowns,"vaccination,lockdowns"
Utah: Require Insurers to Pay COVID-19 Business Interruption Claims for Restaurants,,lockdowns,lockdowns,
Halt all catalogs sent through USPS for the 3 weeks leading up to the election,lockdowns,lockdowns,,
Shut down TORONTO COVID-19,,lockdowns,lockdowns,lockdowns
"Partial tuition refund for students at Greengates, due to online classes.",lockdowns,lockdowns,lockdowns,lockdowns
Fund & Restore the SBA EIDL to help small businesses and gig workers affected by COVID-19.,,,lockdowns,
No Karnataka CET in July,lockdowns,lockdowns,lockdowns,lockdowns
PETITION FOR ACADEMIC EASE,,lockdowns,lockdowns,
Demand Adequate Pay for Actra Toronto Members Completing Required COVID Testing,,,vaccination,masking and distancing
Protest against petroleum fuel price hike in India,,lockdowns,lockdowns,
Objection to Notice dt-12th Feb 2021 issued by Panvel Municipality for Property tax,,,lockdowns,
Allow cancer patients to access treatment and clinical trials - please do not donate,,,,
Cancel Deanza Classes Amid Coronavirus Outbreak (COVID-19),lockdowns,lockdowns,,masking and distancing
Reopen pools now,lockdowns,lockdowns,"vaccination,masking and distancing","vaccination,masking and distancing"
Cancel B Tech Exams for intermediate semesters -KTU,lockdowns,lockdowns,lockdowns,lockdowns
LET US PLAY,,,,vaccination
Stop the deportation of Australian mothers and their children into abusive situations,,,,
AMEND the Law Indicating 3% Philhealth Premiums for Physicians and 0​.​5% Yearly Increase,,,,
Re-enact mandatory indoor masking as a basic public health measure.,masking and distancing,masking and distancing,masking and distancing,masking and distancing
Reschedule Class of 2020 Events!,lockdowns,lockdowns,lockdowns,lockdowns
Pass/Fail Grading Option at the University of South Carolina for this Semester,lockdowns,lockdowns,lockdowns,
Addison Davis must RESIGN Immediately,,,,
Haramkan penggunaan dan penjualan rokok elektronik dan vape di Malaysia,,,,
Pelo Lockdown em TODAS cidades com +150​.​000 habitantes,,lockdowns,lockdowns,lockdowns
Clemency for Bryon Russ,,,,
"Moderna, Pfizer, and CureVac: Ensure we can end the Pandemic. Help others produce Vaccine",vaccination,vaccination,vaccination,vaccination
Stop travel to rural holiday destinations in UK during Covid-19,lockdowns,lockdowns,lockdowns,
Cerrar canal de SOY DAVID SHOW por violar cuarentena COVID-19,,,,lockdowns
"Build bike lanes on Bloor, Danforth & Yonge now",,,,
REISEWARNUNG AUFHEBEN! - Mallorca is NO RISK zone.,,lockdowns,"masking and distancing,lockdowns",vaccination
ALL EXAMS / TESTS TO BE ONLINE,lockdowns,lockdowns,lockdowns,lockdowns
"Cherokee Co. Sheriff Spokesperson, Capt. Jay Baker Must Go!",,,,
The German government should cancel rents for international students till CoVid19 is over.,,lockdowns,lockdowns,vaccination
Petition for Online Teaching in LSE under COVID-19 Threat,lockdowns,lockdowns,lockdowns,lockdowns
Smaller Nonprofits Need Help Now To Survive COVID-19,,,lockdowns,masking and distancing
Make CUSD Schoolwork Optional Due to COVID-19 Pandemic,lockdowns,lockdowns,lockdowns,
Replacing the COVID Awareness Caller tune with Mayur Jumani's Remix version,,,,
Australian Dept of Education Duty of care failures COVID 19,lockdowns,,lockdowns,
Health care workers and Covid-19,,,"vaccination,masking and distancing",masking and distancing
"Indian Doctors battling COVID lack PPE, while IPL pays cricketers millions of dollars",masking and distancing,vaccination,"vaccination,masking and distancing",masking and distancing
Illinois  Schools Should Void 4th Quarter Grading and Pass All 2019/2020 Classes,lockdowns,lockdowns,lockdowns,lockdowns
Make UNF give us refunds for housing/ dining if we are forced to leave again due to covid,,lockdowns,lockdowns,lockdowns
Change UT to a Pass/Fail grading system (with a letter grade option) for Spring 2020,lockdowns,lockdowns,lockdowns,
Front line workers deserve hazard pay from Danbury and New Milford Hospital.,,,,
Regarding UC Irvine's Decision to Cancel 2020 Commencement,lockdowns,lockdowns,lockdowns,
"IDPH, Cheerleaders Are Athletes! COVID-19",,lockdowns,,masking and distancing
"Stop the spread of COVID-19: Cancel the 7/11/20 Trump rally in Portsmouth, NH",lockdowns,lockdowns,lockdowns,"vaccination,masking and distancing"
CoVid 19 Petition : To gain government support for small businesses in India,,,,masking and distancing
VTU is planning to conduct Offline exam over online semester - COVID is still rising,lockdowns,lockdowns,lockdowns,lockdowns
Demand a Green New Deal to save the planet after Covid-19,,,,vaccination
Protect Pregnant Healthcare Workers & Healthcare System from COVID19,masking and distancing,,vaccination,masking and distancing
Cuomo Close NYC construction during  Covid-19. Save peoples lives,lockdowns,lockdowns,,masking and distancing
"COVID-19 Pandemic: Supplies, Financial Support and Compassion for Humanity",,,,"vaccination,masking and distancing,lockdowns"
Extend IELTS validity by a year following Covid-19 Pandemic,lockdowns,,lockdowns,
Commence Scenario 2 for High Schools and Revise COVID-19 Guidelines in Alberta,masking and distancing,,,"vaccination,masking and distancing"
Petition to PM & FM INDIA: RELIEF FOR INDIAN LOAN BORROWER;EMI HOLIDAY! PLS BAN MORATORIUM,,,lockdowns,
Facebook: Don’t stop the music!,,,lockdowns,
Extend compassionate use of Remdesivir to health care workers,vaccination,vaccination,vaccination,
Impose trade sanctions for nations with unsafe bio-security in their (wet) meat markets,,,lockdowns,
Lift the ban on alcohol sales in Barbados during the Covid-19 lock-down,lockdowns,lockdowns,lockdowns,lockdowns
"Housing Is Health! No Homelessness, No Rent Debt",lockdowns,,lockdowns,
Padma Vibhushan for Dr KK Aggarwal,,,,
Petition to lower the tuition fees for 2020/2021 sem 1 at Universiti Teknologi Malaysia.,,,lockdowns,
MUHS should conduct online examination or Postpone MBBS examinations due to rising COVID,lockdowns,lockdowns,lockdowns,lockdowns
Release College Students From Off-Campus Housing Obligations During COVID-19 Pandemic,lockdowns,lockdowns,lockdowns,
Get competitive swimmers back in the pool in PA!,lockdowns,lockdowns,lockdowns,
Extend COVID-19 relief packages to temporary visa holders,,,,lockdowns
Justice for Nikita Tomar,,,,
"Allow live meetings, conventions, and tradeshows to operate in Las Vegas at 50% capacity!",masking and distancing,"masking and distancing,lockdowns","vaccination,masking and distancing,lockdowns","vaccination,masking and distancing"
Protect Chesterfield's Special Education Students!,,,lockdowns,
Forgiving rents in the time of lockdown due to Coronavirus,lockdowns,,lockdowns,lockdowns
Move the Pop-Up Covid Test Centre away from the Old Town!,masking and distancing,,masking and distancing,masking and distancing
We Won't Leave Anyone In Our Community Behind During COVID-19 Pandemic,,,lockdowns,"vaccination,masking and distancing"
Tranparency Regarding Keller ISD's Management of COVID-19,,,"vaccination,masking and distancing",masking and distancing
Protect Orillia During COVID-19,,,,"vaccination,masking and distancing,lockdowns"
Release all ICE Detainees Immediately,,,,
Unmask Elementary Children Outdoors (and all together).,masking and distancing,masking and distancing,masking and distancing,masking and distancing
Save Redrow/Crem skatepark,,,,
Give the elderly the first hour of supermarket trading during Covid-19,,lockdowns,lockdowns,masking and distancing
Close all MESA PUBLIC SCHOOLS because of COVID-19. Protect our Children!,lockdowns,lockdowns,lockdowns,lockdowns
#PostponeNEET_JEE,,lockdowns,lockdowns,lockdowns
Cancel all further exams due to instability caused by COVID-19,lockdowns,lockdowns,lockdowns,lockdowns
Governor Hogan: Close preschools to protect childcare workers from the spread of COVID-19,lockdowns,lockdowns,lockdowns,lockdowns
Lower the age of breast cancer screening in Scotland - “Better screened than sorry”,,,,
Open Personal Training Studios During Phase 2,,lockdowns,lockdowns,
Tell Gov. Cuomo: Broadway Deserves a Seat at the Table,,,,
Covid 19: Repatriación de argentinos y residentes argentinos en el exterior.,,lockdowns,,lockdowns
NIRA to extend eligibility for athletes whose seasons were cut short,,,lockdowns,
Protect Essential Autism Care in PA,lockdowns,lockdowns,lockdowns,
Pass all classes of 2020 second semester,lockdowns,lockdowns,lockdowns,lockdowns
Concordia University students asking for the grading system this semester to be PASS/FAIL,lockdowns,lockdowns,lockdowns,
Postpartum support for mothers in Newfoundland during COVID-19,,,,"vaccination,masking and distancing"
Saskatchewan Needs a Better Back-To-School Plan,lockdowns,lockdowns,masking and distancing,"vaccination,masking and distancing"
Petition for NSW Year 12 students to hold Graduation Assemblies and formals,lockdowns,lockdowns,lockdowns,"vaccination,masking and distancing"
"Lecce, DO NOT CHANGE MARCH BREAK AGAIN!",,,lockdowns,
Postpone Highschool Spring Sports instead of Cancelling,lockdowns,lockdowns,lockdowns,"vaccination,masking and distancing"
Save Echo Park Lake,,,lockdowns,
Proactively protecting the health of SHSU and Huntsville Amid growing concerns of COVID-19,,lockdowns,lockdowns,"vaccination,masking and distancing"
Reschedule Rutgers University 2020 Commencement,lockdowns,lockdowns,lockdowns,
COVID Outbreak: CLOSE DEVONSHIRE MALL,lockdowns,lockdowns,,lockdowns
Re-opening of ALL Golf Facilities Immediately for ALL GOLFERS,lockdowns,lockdowns,masking and distancing,
Covid-19: give economic hardship relief to the hair & beauty industry – support UK salons,,"masking and distancing,lockdowns","masking and distancing,lockdowns",
"Demand Visa, MasterCard, AMEX & Discover Reduce/Waive Certain Fees during COVID 19",masking and distancing,,masking and distancing,lockdowns
Get Nassau County To Reverse The Postponement Of The 2020 Fall Season,lockdowns,lockdowns,lockdowns,
Unemployment Relief For Independent Workers With Mixed Income Types,,,,
"""Play On""",,,,
Allowing athletic competition,lockdowns,lockdowns,lockdowns,"vaccination,masking and distancing"
Manitobans Demand a FAIR Contract for Nurses & Quality Patient Care,,,,"vaccination,masking and distancing"
Close UC Berkeley Campus Due to COVID-19 New Cases in Surrounding Areas,lockdowns,lockdowns,"masking and distancing,lockdowns",lockdowns
COVID-19 Hazard pay for all 1199 SEIU healthcare workers now,,,,
COVID-19 Pandemic: Reinstate Premium Pay for Essential Employees in the State of Maryland,,,lockdowns,
Impeach Michigan Governor Gretchen Whitmer NOW,,,,
Grace-Graduate final year UG students owing to Covid-19,lockdowns,lockdowns,lockdowns,
82yr Old Woman Battling Leukemia Needs Urgent Commutation of Sentence,,,,
Online classes for Universidad europea de valencia (COVID-19 Emergency),lockdowns,lockdowns,lockdowns,lockdowns
Sack Dominic Cummings!,lockdowns,masking and distancing,masking and distancing,lockdowns
Support excise parity for Canadian craft distilleries,,masking and distancing,lockdowns,
Include Australia's Already Disadvantaged in the COVID-19 Stimulus Supplement,,lockdowns,,vaccination
CANCEL 2021 METRIC BOARD EXAM DUE TO THE WIDE SPREAD OF COVID 19,lockdowns,lockdowns,lockdowns,
Make DUT shut down all campuses for an appropriate amount of time should COVID-19 worsen.,lockdowns,lockdowns,lockdowns,lockdowns
SAVE FAIRLOP SAILING SCHOOL FROM CLOSURE,lockdowns,lockdowns,lockdowns,masking and distancing
"Governor Kim Reynolds: Suspend Rent, Mortgage, & Utility Payments During This Crisis",lockdowns,,lockdowns,
Deny Mike Harris the Order of Ontario,,,lockdowns,
"Help undocumented immigrants
during the COVID-19 crisis",,,lockdowns,lockdowns
"Governor Andy Beshear: Suspend Rent, Mortgage and Utility payments during the Corona Virus",lockdowns,,lockdowns,lockdowns
Open Fitness Facilities Premier,lockdowns,lockdowns,lockdowns,lockdowns
"Petition for all 2020 parents to be granted $3,000 baby support grant",,,,
"Stop coronavirus - call for permanent ban on commercial wildlife breeding, markets & trade",,lockdowns,lockdowns,lockdowns
Release COVID-19 Child Care Data in MA!,,vaccination,vaccination,"masking and distancing,lockdowns"
Shutdown the University of Waterloo campus temporarily due to COVID-19,lockdowns,lockdowns,lockdowns,lockdowns
Punëtorët informal duhet të përfitojnë nga paketat e ndihmës financiare COVID-19,,,lockdowns,vaccination
Pay Petsmart employees Hazard pay due to COVID-19.,,,lockdowns,
Hazard Pay for Fred Meyer Employees During the Outbreak of COVID-19,,,lockdowns,
Allow Michigan Youth Soccer Players To Return To Play,lockdowns,lockdowns,masking and distancing,"vaccination,masking and distancing"
Academic Freeze,lockdowns,lockdowns,lockdowns,lockdowns
Stop vigilante Covid-19 roadblocks,lockdowns,lockdowns,lockdowns,lockdowns
Canada Should Ban Flights from Europe due to COVID-19,lockdowns,lockdowns,"vaccination,masking and distancing",
Close NBPS after Spring Break due to the outbreak of COVID-19 in Broward county.,lockdowns,lockdowns,lockdowns,lockdowns
Close QASMT For 2 Weeks (COVID-19),lockdowns,lockdowns,lockdowns,lockdowns
Target: Protect your team and community as Covid-19 surges on.,"masking and distancing,lockdowns",masking and distancing,,"vaccination,masking and distancing,lockdowns"
Restrict Maximum Monthy BCHydro Charges During Covid-19 Outbreak,lockdowns,lockdowns,lockdowns,
Ensure Sir Richard Branson sells private assets before being bailed out by the government.,,,,
Cancel Lucknow University Exams! Mass promotion of students is an option.,lockdowns,lockdowns,lockdowns,masking and distancing
Norwich University students to remain off-campus in response to COVID-19,lockdowns,lockdowns,lockdowns,"vaccination,masking and distancing"
COVID-19: Change to The Leaving Cert 2020,,lockdowns,lockdowns,lockdowns
Personal Protective Equipment (PPE) and COVID-19 Health Care for NYPD Officers,,,"vaccination,masking and distancing","vaccination,masking and distancing"
Allow ski hills to operate during Ontario lockdown,lockdowns,lockdowns,lockdowns,lockdowns
Stonewall Jackson Cemetery Name To Remain The Same,,lockdowns,lockdowns,
Bring the AFL grand final to Perth,,,lockdowns,
INTI SHOULD CANCELLING ALL PHYSICAL CLASSES TO REDUCE SPREAD OF COVID-19,lockdowns,lockdowns,lockdowns,"masking and distancing,lockdowns"
COVID-19 Support for International Students,,,"vaccination,masking and distancing,lockdowns",
Gofundme deve eliminare i contributi x  le raccolte COVID nel mondo e donare agli ospedali,,,,vaccination
COVID vaccines for California teachers,vaccination,vaccination,vaccination,vaccination
Corona Virus Kenya: Petition to STOP all flights from CHINA & #COVID-19 hotspots,lockdowns,lockdowns,lockdowns,lockdowns
Cancel School for CPS,lockdowns,lockdowns,,
Provide federal financial assistance to renters affected by COVID-19,,,lockdowns,
COVID-19: Suspend classes and Encourage online teaching at Coventry University,lockdowns,lockdowns,lockdowns,lockdowns
Sénégalais de l'extérieur victimes du COVID-19,,,lockdowns,lockdowns
Demand Congress Provide Free School Meals To Every K-12 Student In America,,,,
Lower Temple University Fall 2020 Tuition,,lockdowns,lockdowns,
AOTA Needs to Address Murders of Black Men and Women to Support OT's Diverse Community,,,,
Force Big Chain Supermarkets/Takeaways to Drop Delivery Fees During the Covid-19 Pandemic,lockdowns,,"masking and distancing,lockdowns",
BAN USE OF CHEMICAL CROWD-CONTROL AGENTS DURING THE COVID-19 PANDEMIC,masking and distancing,lockdowns,lockdowns,lockdowns
Allow virtual HBUHSD teachers to continue instruction online,lockdowns,lockdowns,lockdowns,lockdowns
"Tell Governor Newsom to Release Patricia Wright, A Blind Grandmother with Terminal Cancer",,,,
"Demand to grant  PR Status to Work permit holders, Refugee Claimants and Int. Students.",,lockdowns,lockdowns,lockdowns
PLEASE SHUT DOWN and CLEAN Amazon facilities that test positive for COVID-19,masking and distancing,lockdowns,"masking and distancing,lockdowns",lockdowns
Please Let Massachusetts Golf,,lockdowns,lockdowns,
Stop Deportation- Mother faces deportation that would take her away from her daughter,,,,masking and distancing
"The stoppage of Justin Trudeau's ""assault weapons"" ban",masking and distancing,,lockdowns,
Allow Businesses and small traders to resume in Mumbai.,lockdowns,,,"vaccination,masking and distancing"
"With The world facing a Covid-19 pandemic, Unisa exams to change from seat-in to portfolio",lockdowns,lockdowns,lockdowns,
DSTV should give S​.​A. subscribers a payment break or decrease prices during Covid-19,,,lockdowns,
Do not transfer our Municipal Commissioner until Covid is eradicated,lockdowns,lockdowns,lockdowns,
Cover Covid19 Exposed or Contracted Longshore Workers Under Federal Compensation.,masking and distancing,vaccination,"vaccination,masking and distancing",masking and distancing
"SAY NO to using the Wyndham, Fresh Meadows to House 100 Former Inmates and Sex Offenders!",,,,
Postpone VTU exams,lockdowns,lockdowns,lockdowns,lockdowns
Help convince Inslee and WIAA to allow HS spring sports to resume,lockdowns,lockdowns,lockdowns,lockdowns
NZTR: Shifting the two Guineas Group One races north will ruin Cup Week in Christchurch!,,,,
