text,annotation_96,annotation_53,annotation_93,annotation_94,annotation_95
نطالب وزارة الاتصالات اللبنانية بزيادة سعة الإنترنت وسرعته وتخفيض الأسعار خلال أزمة كورونا,False,False,False,False,False
Modify SIT's Exam and Grading Policy due to COVID-19,False,False,False,True,True
CLOSE DOWN ALL EDUCATIONAL INSTITUTIONS!,True,False,True,True,False
Request CWU To Make Online Classes/Finals Available Due to COVID-19 Deaths In WA State,True,False,True,True,True
Ensure health workers have enough PPE during Covid-19 to remain safe,False,False,False,False,False
ECFMG Certification during COVID 19 Crisis,False,False,False,False,False
Help for Special Needs Family during COVID,False,False,False,False,False
Demand Louisiana Gov. Edwards take action to reduce the prison population during Covid-19,False,False,False,False,False
Demand SF City Gov’t Responds To Homeless and Crime CRISIS,False,False,False,False,False
Stop ICE from sending international students out of the country!,False,False,False,False,False
Restore Youth Hockey,False,False,False,False,False
The Ghanaian-Canadian Association of Ontario needs your support!,False,False,False,False,False
Shut down FISD schools to prevent COVID-19 spreading,True,False,True,True,True
Hazard pay for X-ray tech at St Mary’s Hospital,False,False,False,False,False
Declarar pandemia por parte de la OMS | Make official WHO pandemic status - Covid-19,False,False,False,False,False
UVM students demand partial tuition and housing reimbursement,False,False,False,False,False
Kids First! Let NM kids practice outdoors sports!,True,False,False,False,False
Forgive Student Loans for Nurses working during COVID-19,False,False,False,False,False
WITHDRAW EIA DRAFT 2020,False,False,False,False,False
#COVID19 CHIEDIAMO CHE TUTTI RESPONSABILI SIANO GIUDICATI DA CORTE INTERNAZIONALE PENALE,False,False,False,False,False
Nintendo should release Animal Crossing: New Horizons early due to the coronavirus,False,False,False,False,False
COVID-19 Remembrance and Lessons Learned/COVID-19 Commémoration et Leçons Apprises,False,False,True,False,False
Close all daycares in British Columbia to stop the spread of COVID-19,True,False,True,True,True
Close UBC Campus to Prevent the Outbreak of COVID-19,True,False,True,True,True
Recruitment of Public health officers and public technicians for UHC and prevent COVID 19,False,False,False,False,False
Federal Student Loan Forgiveness for All,False,False,False,False,False
Free Ashley Diamond,False,False,False,False,False
Resignation of Jay Baker,False,False,False,False,False
Wake up Bihar ( COVID - 19),False,False,False,False,False
Demand NBC pull Trump Town Hall 10/15,False,False,False,False,False
Pennsylvania Schools to Void 3/4th Quarter Grading and Allow All Student to Pass 2019/2020,False,False,True,False,False
Revise Francis Parker School's Covid-19 Teacher Policies,False,False,False,False,False
Shut Down Illinois Due to the Public Health Threat of Covid-19,True,False,True,True,True
Cancellation of medical exams covid-19,False,False,False,True,True
#ShutDownMASS to minimize the spread of coronavirus,True,False,True,True,True
The University of Michigan community needs a better testing plan,False,False,False,False,False
Hold Trump Accountable For Misleading Of Covid-19,False,False,False,False,False
Keep Austin Building Safely During Covid-19 Shelter In Place Order,False,False,True,False,False
Insurance Companies deny therapy to children for PT/OT/ST during global COVID-19 pandemic.,False,False,False,False,False
Recognize and Demarcate Orthodontic Procedures Separately from Other Dental Procedures,False,False,False,False,False
Close BC Schools to slow the spread of COVID-19,True,False,True,True,True
Postpone/Cancel the AP Inter-board exams.,False,False,False,True,False
Save EasyJet jobs.,False,False,False,False,False
Poor street dog raped by strangers during Covid -19 Lockdown,True,False,True,False,False
Save Manchester's historic Belle Vue Stadium,False,False,False,False,False
Fermiamo il calcio! [ITA-ENG] ~Covid-19,False,False,False,True,True
Expand Screening to Stop Covid-19 from Becoming an Epidemic,False,False,False,False,False
Teachers For Good Trouble - Stop Standardized Testing During COVID-19 Pandemic,False,False,False,True,True
Stop pig slaughterhouse at Ballymoney NI; save pigs and local community from proposed hell,False,False,False,False,False
Help the 99% Recover from COVID-19 Crisis,False,False,False,False,False
"Coordinación supranacional ante el COVID-19
Supranational coordination against COVID-19",False,False,False,False,False
Suspend Rent and Mortgage payments in California during COVID-19,False,False,True,False,False
Postponement and/or cancellation of all examinations in light of the COVID-19 Pandemic.,False,False,True,True,True
Engage for a better world after COVID-19 (#Engage4Better),False,False,False,False,False
Release low risk delaware prisoners due to covid-19 outbreak,False,False,False,False,False
"Artists, Creators, Tattooists, Musicians and Sole Traders need your help!",False,False,False,False,False
Halt the planned cuts to West Sussex Children and Family Centres,False,False,False,False,False
Revoke CEWS funding from anti-choice and hate groups,False,False,False,False,False
2020 Graduation after COVID-19,False,False,False,False,False
Petition for a public enquiry into unlawful Dáil procedure regarding covid 19 legislation.,False,False,False,False,False
Please change BC COVID 19 testing measures ASAP,False,False,False,False,False
Government of British Columbia: Do not single out hairstylists in phase two.*,True,False,False,False,False
No school for all Allen ISD during the Coronavirus (COVID-19) Outbreak,True,False,True,True,True
Exempt the non-EU students from paying the tuition fee of SS due to the Covid - 19 crisis.,False,False,False,False,False
40% to 50% REDUCTION IN TUTION FEES,False,False,False,False,False
BCIT STUDENT’S REFUND DUE THE COVID-19,False,False,False,False,False
Appeal for Urgent Action on the Attacks Against the CPA and its Leaders,False,False,False,False,False
#saveProjectSPELL,False,False,False,False,False
Abolish quarantine rule to enter Sarawak #malaysiaformalaysians,True,False,True,False,False
SUPPORT CARE HOMES DURING COVID-19 & AFTER,False,False,False,False,False
Exclude kids from the ‘rule of 6’ law in England.,False,False,False,False,False
#NUStopOnlineClassesNow #WalangIwananNationalian,True,False,False,True,False
Hazard Pay for Lassens employees during COVID-19 Outbreak,False,False,False,False,False
Tell Emory University to stop torturing nonhuman primates!,False,False,False,False,False
Let foreign doctors help us fight COVID-19!,False,False,False,False,False
Allow Parents the option to keep children off school during covid 19 crisis,True,False,True,True,False
CANCEL ICSE BOARD EXAMS 2021 DUE TO COVID-19,False,False,True,True,True
MAKAUT need to close WB colleges due to effect of COVID-19.,True,False,True,True,True
UNISA STUDENTS DEMANDING THE REMOVAL OF THE LAST MINUTE IMPLEMENTATION OF THE IRIS SYSTEM!,False,False,False,False,False
"Change Diet, Save Lives",False,False,False,False,False
Urgent Government Support For The Hospitality Industry,False,False,False,False,False
"支持將「中華航空」正名為「台灣航空」Call for Petition of Rectifying “China Airlines” with “Taiwan Airlines""",False,False,False,False,False
Hazard Compensation For Covid-19 Pandemic,False,False,False,False,False
Urgent Strict Measures to Counter Coronavirus Spread and Increase Public Education,False,False,True,False,False
Google: Include the entire Caribbean in YouTube's Partner Program,False,False,False,False,False
Testing for COVID 19 in NHS medical professionals showing signs and symptoms,False,False,False,False,False
Close the CUNY Hunter College campus due the spread of COVID-19,True,False,True,True,True
Allow Visitors for MA Patients During Covid-19,True,False,False,False,False
S​.​E​.​N Schools to shut in the UK amid Covid 19 outbreak,True,False,True,True,True
"For Immediate Resignations: Michael Rembis, Debbie Walsh, Gary Kienbaum and Lisa Paulson.",False,False,False,False,False
Start Community Testing: COVID-19 NEPAL,False,False,False,False,False
Make sure all staff in hospital have face masks,False,False,False,False,False
Grant Diploma Privilege for 2020 Texas Law School Graduates,False,False,False,False,False
Mental Health Stability Amongst Student Body,False,False,False,False,False
PROTECT INCARCERATED COMMUNITIES FROM COVID-19,False,True,False,False,False
Keep COVID-19 Arrestees Out of Waiʻanae,False,False,False,False,False
HAZARD PAY FOR TRANSIT WORKERS,False,False,False,False,False
An Immediate Decrease in UArts Tuition for 2020-2021,False,False,False,False,False
Implement COVID-19 Precautionary Measures,False,False,True,False,False
Close the PA border to people who live out of state.,False,False,True,True,True
#JusticeforShoni: fix Thembisa Hospital and save lives,False,False,False,False,False
Immediate Aid Package for San Francisco SMBs (Small and Medium Businesses),False,False,False,False,False
"Under attack at NYU, Mark Crispin Miller needs your support for academic freedom",False,False,False,False,False
Allow PAYE freelancers to receive the UK government's COVID-19 self employed grant,False,False,False,False,False
AN ACCESSIBLE WASHROOM for DISABLED FANS--Toronto Maple Leafs and Raptors,False,False,False,False,False
Release community custody inmates with 6 months or less on supervision due to COVID-19,False,True,False,False,False
Support UNPAID Student Nurses helping to fight Covid-19 Pandemic,False,False,False,False,False
Refund UIC Students for Tuition Costs,False,False,False,False,False
Close Pratt Institute-Main Campus due to COVID-19 Death in NYC,True,False,True,True,True
Kitas & Schulen verlässlich öffnen: Bundesweite Bildungs- & Betreuungsgarantie 2021,False,False,False,False,True
Exception for Drive-In Movie Theatres during Covid-19 restrictions.,False,False,True,True,True
Il vaccino antinfluenzale ha aumentato i rischi da COVID-19?,False,False,False,False,False
Save Rose of Sharon Korean LTC from for-profit Rykka,False,False,False,False,False
CAIE should allow Students of Pakistan for Teacher Assessemnt like UK for O/A Level 2021,False,False,False,False,False
Lower University of New Mexico Fall 2020 Tuition,False,False,False,False,False
Demanding a Student-Centered Response from SUA to the COVID-19 Epidemic,False,False,False,False,False
Citizens should be allowed to leave Australia without requiring permission.,False,False,False,False,False
Grant of RESIDENCE AMNESTY FOR ALL MIGRANT WORKERS CURRENTLY IN NZ.,False,False,False,False,False
Private daycare/schools to credit/refund parents for service not rendered due to covid-19,False,False,True,False,False
Separate Muskoka From Simcoe For Covid Response Regions,False,False,False,False,False
Minimum 3​.​1% Pay Rise to NHS workers.,False,False,False,False,False
Equal Government Support for Newly Self Employed - Covid 19,False,False,False,False,False
Allow a nominated family member to enter care homes during a lockdown the same as staff do,True,False,True,False,False
Retain contract pharmacists in Ministry of Health (MOH)!,False,False,False,False,False
Bengaluru Green Cover reduced from 70% to 3%.   SAVE Bengaluru's TREES!   STOP ECOCIDE!,False,False,False,False,False
"Dear PIAA, Please Do Not Terminate Our Sports Seasons!",True,False,False,False,False
Expand Unemployment Insurance Eligibility for Education Support Professionals,False,False,False,False,False
To include Traditional and Complementary Medicine (T&CM) as essential service,False,False,False,False,False
Reduce the cost of paying for online education in Cyprus (during the COVID-19 quarantine),False,False,True,True,False
WIRED not Wireless; NO HOTSPOTS or Antennas added to CA Schools during COVID-19,False,False,False,False,False
"Governor Greg Abbott: Suspend Rent, Mortgage, & Utility Payments During Covid-19 crisis",False,False,True,False,False
Open Rhode Island & End All Executive Orders May 9th.,True,False,False,False,False
Postpone Oklahoma State University Spring 2020 Commencement,False,False,True,True,True
"Save Our Studios.
Reclassify dance studios in the California Covid re-opening strategy.",False,False,True,True,False
RRISD Students Request Covid Safe Traditional Graduation Ceremony,False,False,True,False,False
Suspend rent and mortgage payments during Covid 19 pandemic South Africa,False,False,True,False,False
Locals Only Recreation Initiative for Placer and Nevada Counties,False,False,False,False,False
Directors to be equally helped Just as self employed have been.,False,False,False,False,False
Allow Nursing Students to graduate despite clinical hours,False,False,False,False,False
Pass the bill to prohibit child marriage in the Philippines. #ENDChildMarriage,False,False,False,False,False
Petition for MIT Administration to Take Action against On-Campus Spread of COVID-19,False,False,False,False,True
Change the inhuman Care Home Covid visiting restrictions,True,False,True,False,False
Support Cheerleaders and Dance in 2021,False,False,False,False,False
Financial compensation(hazard pay) for essential workers during covid-19,False,False,False,False,True
Save Gymnastics Clubs in Ontario!,False,False,False,False,False
#cancelboardexams,False,False,False,True,False
Ask Gov. DeSantis to Stop the unfair treatment of Vacation Rentals!,False,False,False,False,False
Place a moratorium on 1080 poisoned food drops & divert funds to save lives from COVID-19,False,False,False,False,False
American Airlines Should Waive ALL  Change/Cancellation Fees Amidst COVID-19 Outbreak!,False,False,True,True,False
To Stop COVID-19: Contact Trace and Test!,False,False,False,False,False
HELP IRANIANS TO RECEIVE MEDICAL SUPPLIES TO FIGHT COVID-19,False,False,False,False,False
Get Covid-19 Vaccines for Doctors,False,False,False,False,False
Allow F-1 and M-1 students with valid visas to stay in the United States,False,False,False,False,False
"Northern and southern European countries solidarity, opinions of non-political citizens",False,False,False,False,False
Cancel 2021 CBSE Board exams due to COVID-19,False,False,True,True,True
Canadian Federal Government: Give More Support to Canadian Airlines and their Employees,False,False,False,False,False
Universal living wage for all ad-hoc agency workers during the covid-19 crisis,False,False,False,False,False
Brainware University need to close College due to effect of COVID-19.,True,False,True,True,True
Whittier Council Member Jessica Martinez: Recuse Yourself from Immigrant Relief Lawsuit,False,False,False,False,False
Allow parents to temporarily home educate without being penalised during Covid-19 outbreak,False,False,True,False,False
There will be a day AFTER COVID-19.  Help us change the way leaders lead.  Everywhere.,False,False,False,False,False
Close Madison City Schools due to COVID-19,True,False,True,True,True
Mthuli Ncube to remove 2% charge from all electronic money transactions #Covid-19 period,False,False,False,False,False
Partially Refund Loughborough University Tuition Fees,False,False,False,False,False
Proper equipments and facilities for Arunachal Pradesh to tackle Covid-19,False,False,False,False,False
Humber College should reduce tuition fees for classes recently made online due to COVID-19,True,False,True,True,True
South Dakota State University pass or fail students -COVID-19,False,False,False,True,False
Tim Walz: Support to-go wine & beer sales for the restaurant industry during COID-19,True,False,False,False,True
Demanding permanent employment for contract workers in M'sia Gov! #WeAreFrontliners,False,False,False,False,False
Rescind the Acceptance of racist Drew Dollar into LSU,False,False,False,False,False
Postpone All Entrances and ExamsDuring Current Situation of Covid-19.,False,False,True,True,True
We Texans demand that Ted Cruz resign.,False,False,False,False,False
LET US IN! Adjust The Nursing Home Visitation Policy due to Covid 19,True,False,False,False,False
COVID-19 Landlord Support,False,False,True,False,False
Cancellation of STPM Semester 2 examination 2020,False,False,False,True,True
Immediate & Unconditional Release of Jawar Mohammed & All Oromo Political Prisoners,False,False,False,False,False
Close non essential warehouses Covid-19,True,False,True,True,True
Revise the Academic Calendar & Suspend the Online Classes throughout COVID-19 crisis,True,False,True,False,False
ASHA dues should be WAIVED for 2020!,False,False,False,False,False
Cancellation of Lebanese Official Exams for 2020/إلغاء الإمتحانات الرسمية اللبنانية ل-٢٠٢٠,False,False,True,True,False
Hazard pay for essential employees working with the public during the covid-19 pandemic.,False,False,False,False,False
Stop children being weighed in school without parental consent,False,False,False,False,False
Allow Visitors for Covid-19 Patients,True,False,False,False,False
Exigimos acciones de control y salud en la Reserva Natural de La Parguera,False,False,False,False,False
